state,L_mm,rho1,rho2,branch_index,residual_ohm,within_literature_bounds
inhale,50,5.1013984606913363,1.1614486138403426,0,-1.4210854715202004e-14,False
inhale,50,5.1008937753569112,1.1748975549395297,0,0,False
inhale,50,5.1003868601051421,1.1885022274370183,0,0,False
inhale,50,5.0998777247059239,1.2022644346174132,0,0,False
inhale,50,5.0993663789433175,1.2161860006463678,0,2.8421709430404007e-14,False
inhale,50,5.0988528326155764,1.2302687708123818,0,2.8421709430404007e-14,False
inhale,50,5.0983370955351672,1.244514611771385,0,1.4210854715202004e-14,False
inhale,50,5.0978191775287724,1.2589254117941675,0,1.4210854715202004e-14,False
inhale,50,5.0972990884373068,1.2735030810166617,0,2.8421709430404007e-14,False
inhale,50,5.096776838115936,1.2882495516931343,0,-1.4210854715202004e-14,False
inhale,50,5.0962524364340913,1.3031667784522993,0,-1.4210854715202004e-14,False
inhale,50,5.0957258932754712,1.3182567385564075,0,1.4210854715202004e-14,False
inhale,50,5.0951972185380425,1.333521432163324,0,1.4210854715202004e-14,False
inhale,50,5.0946664241691266,1.348962882591654,0,0,False
inhale,50,5.094133530267519,1.3645831365889245,0,9.9475983006414026e-14,False
inhale,50,5.0935985589730635,1.3803842646028852,0,5.6843418860808015e-14,False
inhale,50,5.0930615324307409,1.3963683610559376,0,2.8421709430404007e-14,False
inhale,50,5.0925224727905238,1.4125375446227548,0,4.2632564145606011e-14,False
inhale,50,5.0919814022072432,1.4288939585111029,0,5.6843418860808015e-14,False
inhale,50,5.091438342840453,1.4454397707459272,0,7.1054273576010019e-14,False
inhale,50,5.090893316854296,1.4621771744567182,0,9.9475983006414026e-14,False
inhale,50,5.0903463464173626,1.4791083881682072,0,8.5265128291212022e-14,False
inhale,50,5.0897974537025474,1.4962356560944337,0,7.1054273576010019e-14,False
inhale,50,5.0892466608869347,1.513561248436208,0,9.9475983006414026e-14,False
inhale,50,5.0886939901516222,1.5310874616820302,0,9.9475983006414026e-14,False
inhale,50,5.0881394636816131,1.5488166189124812,0,1.1368683772161603e-13,False
inhale,50,5.0875831036656578,1.5667510701081493,0,1.5631940186722204e-13,False
inhale,50,5.0870249322961101,1.5848931924611134,0,1.4210854715202004e-13,False
inhale,50,5.0864649717688089,1.6032453906900417,0,1.1368683772161603e-13,False
inhale,50,5.0859032442829069,1.6218100973589298,0,1.5631940186722204e-13,False
inhale,50,5.0853397720407418,1.6405897731995396,0,1.5631940186722204e-13,False
inhale,50,5.0847745772476873,1.6595869074375604,0,1.4210854715202004e-13,False
inhale,50,5.0842076821120212,1.6788040181225607,0,1.9895196601282805e-13,False
inhale,50,5.0836391088447543,1.6982436524617444,0,1.7053025658242404e-13,False
inhale,50,5.0830688796595176,1.7179083871575884,0,1.9895196601282805e-13,False
inhale,50,5.0824970167723862,1.7378008287493754,0,1.8474111129762605e-13,False
inhale,50,5.0819235424017526,1.7579236139586931,0,1.7053025658242404e-13,False
inhale,50,5.0813484787681693,1.7782794100389228,0,1.9895196601282805e-13,False
inhale,50,5.0807718480941997,1.7988709151287883,0,2.2737367544323206e-13,False
inhale,50,5.0801936726042776,1.8197008586099834,0,2.4158453015843406e-13,False
inhale,50,5.0796139745245492,1.8407720014689564,0,2.5579538487363607e-13,False
inhale,50,5.0790327760827312,1.8620871366628675,0,2.5579538487363607e-13,False
inhale,50,5.0784500995079469,1.883649089489801,0,1.8474111129762605e-13,False
inhale,50,5.0778659670306014,1.9054607179632472,0,2.7000623958883807e-13,False
inhale,50,5.077280400882163,1.9275249131909356,0,-3.1263880373444408e-13,False
inhale,50,5.0766934232951675,1.9498445997580456,0,-2.8421709430404007e-13,False
inhale,50,5.0761050565028567,1.9724227361148534,0,-2.8421709430404007e-13,False
inhale,50,5.0755153227391654,1.9952623149688797,0,-2.7000623958883807e-13,False
inhale,50,5.0749242442385274,2.0183663636815607,0,-2.7000623958883807e-13,False
inhale,50,5.0743318432357229,2.0417379446695296,0,-2.5579538487363607e-13,False
inhale,50,5.0737381421537977,2.0653801558105291,0,-2.7000623958883807e-13,False
inhale,50,5.0731431677395165,2.0892961308540396,0,-2.8421709430404007e-13,False
inhale,50,5.072546951054866,2.1134890398366464,0,-2.5579538487363607e-13,False
inhale,50,5.0719495233356495,2.1379620895022327,0,-2.5579538487363607e-13,False
